,순위,종목코드,href,현재가,매출액[2019],매출액[2019.12],매출액[2020.03],영업이익[2019],영업이익[2019.12],영업이익[2020.03],당기순이익[2019],당기순이익[2019.12],당기순이익[2020.03],자산총계[2019],자산총계[2019.12],자산총계[2020.03],부채총계[2019],부채총계[2019.12],부채총계[2020.03],자본총계[2019],자본총계[2019.12],자본총계[2020.03],영업이익률[2019],영업이익률[2019.12],영업이익률[2020.03],순이익률[2019],순이익률[2019.12],순이익률[2020.03],ROE(%)[2019],ROE(%)[2019.12],ROE(%)[2020.03],ROA(%)[2019],ROA(%)[2019.12],ROA(%)[2020.03],부채비율[2019],부채비율[2019.12],부채비율[2020.03],EPS(원)[2019],EPS(원)[2019.12],EPS(원)[2020.03],PER(배)[2019],PER(배)[2019.12],PER(배)[2020.03],BPS(원)[2019],BPS(원)[2019.12],BPS(원)[2020.03],PBR(배)[2019],PBR(배)[2019.12],PBR(배)[2020.03],현금배당수익률[2019],현금배당수익률[2019.12],현금배당수익률[2020.03],현금배당성향(%)[2019],현금배당성향(%)[2019.12],현금배당성향(%)[2020.03]
유안타증권,248,003470,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=003470,"2,975","21,318","4,926","15,396",718,95,44,809,195,67,"123,423","123,423","140,042","110,785","110,785","127,236","12,638","12,638","12,806",3.37,1.93,0.29,3.80,3.96,0.44,6.60,6.60,5.21,0.67,0.67,0.49,876.60,876.60,993.57,381,92,32,7.52,7.52,6.53,"6,150","6,150","6,232",0.47,0.47,0.32,,,,,,0.00
하나투어,249,039130,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=039130,"42,250","7,632","1,635","1,105",59,-81,-275,-120,-107,-345,"10,076","10,076","9,657","7,897","7,897","6,557","2,179","2,179","3,100",0.78,-4.95,-24.89,-1.57,-6.56,-31.25,-4.22,-4.22,-18.45,-1.39,-1.39,-5.70,362.44,362.44,211.52,-691,-770,"-2,206",N/A,N/A,N/A,"16,334","16,334","20,924",3.13,3.13,1.77,1.96,,,-137.86,-49.51,0.00
드림텍,250,192650,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=192650,"9,670","5,597","1,416","1,716",305,71,17,234,74,6,"3,771","3,771","6,057","1,560","1,560","3,429","2,211","2,211","2,628",5.44,5.02,1.02,4.18,5.22,0.35,13.24,13.24,10.19,7.07,7.07,4.26,70.55,70.55,130.52,420,126,12,16.11,16.11,13.40,"3,666","3,666","3,649",1.85,1.85,1.27,2.36,,,40.13,125.68,0.00
SK디스커버리,251,006120,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=006120,"30,000","50,211","13,263","12,593","1,739",417,822,"2,502","1,283",926,"50,001","50,001","51,492","26,769","26,769","27,742","23,232","23,232","23,751",3.46,3.14,6.53,4.98,9.67,7.35,11.52,11.52,15.29,5.10,5.10,6.83,115.22,115.22,116.80,"8,844","3,335","2,948",2.96,2.96,1.80,"82,553","82,553","84,367",0.32,0.32,0.25,2.68,,,7.95,21.07,
영원무역홀딩스,252,009970,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=009970,"42,750","27,380","7,332","5,878","2,990",761,572,"2,277",431,619,"37,894","37,894","39,757","12,137","12,137","14,067","25,757","25,757","25,690",10.92,10.38,9.72,8.32,5.87,10.53,9.60,9.60,10.10,6.46,6.46,6.61,47.12,47.12,54.75,"8,870","1,940","2,232",5.43,5.43,3.45,"118,552","118,552","116,695",0.41,0.41,0.29,2.07,,,9.59,43.88,
제이콘텐트리,253,036420,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=036420,"34,150","5,542","1,538","1,030",354,-72,-156,106,-162,-187,"11,616","11,616","11,963","7,411","7,411","7,881","4,206","4,206","4,082",6.39,-4.69,-15.18,1.92,-10.51,-18.15,0.34,0.34,-5.36,1.07,1.07,-1.39,176.20,176.20,193.05,78,"-1,003",-969,494.42,494.42,N/A,"22,374","22,374","19,074",1.72,1.72,1.37,,,,0.00,0.00,
미래에셋생명,254,085620,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=085620,"3,245","34,858","7,875","10,239","1,407",322,295,"1,095",193,253,"380,155","380,155","368,383","356,790","356,790","345,485","23,365","23,365","22,898",4.04,4.09,2.88,3.14,2.45,2.48,4.98,4.98,4.83,0.30,0.30,0.30,"1,527.03","1,527.03","1,508.78",553,97,128,7.48,7.48,5.74,"14,639","14,639","14,702",0.28,0.28,0.21,4.11,,,35.20,199.59,0.00
효성티앤씨,255,298020,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=298020,"130,500","59,831","14,706","13,877","3,229",836,785,"1,220",421,263,"32,243","32,243","32,855","26,414","26,414","26,834","5,830","5,830","6,021",5.40,5.69,5.66,2.04,2.86,1.89,20.86,20.86,18.93,3.84,3.84,3.55,453.10,453.10,445.69,"21,510","8,519","4,780",7.18,7.18,5.37,"113,298","113,298","117,148",1.36,1.36,0.94,1.29,,,9.27,23.41,
삼양홀딩스,258,000070,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=000070,"59,000","24,886","6,280","5,973",794,-167,326,620,-193,351,"35,895","35,895","37,676","15,600","15,600","17,579","20,295","20,295","20,097",3.19,-2.67,5.46,2.49,-3.08,5.87,2.18,2.18,2.48,1.80,1.80,1.97,76.87,76.87,87.47,"3,481","-2,396","2,607",19.25,19.25,10.42,"183,426","183,426","182,326",0.37,0.37,0.23,2.99,,,50.19,-72.91,
롯데손해보험,259,000400,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=000400,"1,730","36,736","7,599","15,651",-709,"-1,159",550,-512,-856,386,"162,673","162,673","165,873","153,014","153,014","156,389","9,658","9,658","9,484",-1.93,-15.25,3.51,-1.39,-11.27,2.47,-6.69,-6.69,-3.98,-0.34,-0.34,-0.20,"1,584.25","1,584.25","1,649.05",-300,-308,124,N/A,N/A,N/A,"3,125","3,125","3,068",0.66,0.66,0.43,,,,,,0.00
